vyras,vyras,vyro,vyrui,vyrą,vyru,vyre,vyre,vyrai,vyrų,vyrams,vyrus,vyrais,vyruose,vyrai
pirštas,pirštas,piršto,pirštui,pirštą,pirštuG,piršteG,piršte,pirštai,pirštų,pirštams,pirštusG,pirštais,pirštuose,pirštai
langas,langas,lango,langui,langą,langu,langeG,lange,langaiG,langųG,langamsG,langus,langaisG,languoseG,langaiG
miškas,miškas,miško,miškui,mišką,miškuG,miškeG,miškeG,miškaiG,miškųG,miškamsG,miškusG,miškaisG,miškuoseG,miškaiG
elnias,elnias,elnio,elniui,elnią,elniu,elnyje,elni,elniai,elnių,elniams,elnius,elniais,elniuose,elniai
kelias,kēlias,kēlio,kēliui,kēlią,keliuG,kelyjeG,kelyG,keliaiG,keliųG,keliamsG,keliusG,keliaisG,keliuoseG,keliaiG
vėjas,vėjas,vėjo,vėjui,vėją,vėju,vėjyje,vėjau,vėjai,vėjų,vėjams,vėjus,vėjais,vėjuose,vėjai
galvijas,galvijas,galvijo,galvijui,galviją,galvijuG,galvijuje,galvijau,galvijai,galvijų,galvijams,galvijusG,galvijais,galvijuose,galvijai
brolis,brolis,brolio,broliui,brolį,broliu,brolyje,broli,broliai,brolių,broliams,brolius,broliais,broliuose,broliai
peilis,peilis,peilio,peiliui,peilį,peiliuG,peilyje,peili,peiliai,peilių,peiliams,peiliusG,peiliais,peiliuose,peiliai
arklys,arklysG,arklio,arkliui,arklį,arkliu,arklyjeG,arklyG,arkliaiG,arkliųG,arkliamsG,arklius,arkliaisG,arkliuoseG,arkliaiG
būrys,būrysG,būrio,būriui,būrį,būriuG,būryjeG,būryG,būriaiG,būriųG,būriamsG,būriusG,būriaisG,būriuoseG,būriaiG
berniukas,berniukas,berniuko,berniukui,berniuką,berniukuG,berniukeG,berniuk,berniukai,berniukų,berniukams,berniukusG,berniukais,berniukuose,berniukai
Jonas,Jonas,Jono,Jonui,Joną,JonuG,JoneG,Jonai,Jonai,Jonų,Jonams,JonusG,Jonais,Jonuose,Jonai
duktė,duktėG,duktersG,dukteriai,dukterį,dukterimiG,dukteryjeG,dukterieG,dukterys,dukterųG,dukterimsG,dukteris,dukterimisG,dukteryseG,dukterys
keitimasis,keitimasis,keitimosi,keitimuisi,keitimąsi,keitimusiG,keitimesiG,keitimesiG,keitimaisi,keitimųsi,keitimamsi,keitmusi,keitimaisi,keitimuosesi,keitimaisi
turgus,turgus,turgaus,turgui,turgų,turgumi,turguje,turgau,turgūs,turgų,turgums,turgus,turgumis,turguose,turgūs
sūnus,sūnusG,sūnausG,sūnui,sūnų,sūnumiG,sūnujeG,sūnauG,sūnūs,sūnųG,sūnumsG,sūnus,sūnumisG,sūnuoseG,sūnūs
dangus,dangusG,dangaus,dangui,dangų,dangumiG,dangujeG,dangauG,dangūs,dangųG,dangumsG,dangusG,dangumisG,danguoseG,dangūsG
koridorius,koridorius,koridoriaus,koridoriui,koridorių,koridoriumi,koridoriuje,koridoriau,koridoriai,koridorių,koridoriams,koridorius,koridoriais,koridoriuose,koridoriai
sodžius,sodžius,sodžiaus,sodžiui,sodžių,sodžiumi,sodžiuje,sodžiau,sodžiai,sodžių,sodžiams,sodžiusG,sodžiais,sodžiuose,sodžiai
pavojus,pavojus,pavojaus,pavojui,pavojų,pavojumi,pavojuje,pavojau,pavojai,pavojų,pavojams,pavojusG,pavojais,pavojuose,pavojai
žmogus,žmogusG,žmogausG,žmogui,žmogų,žmogumiG,žmogujeG,žmogauG,žmonės,žmoniųG,žmonėmsG,žmones,žmonėmisG,žmonėseG,žmonės
jūra,jūra,jūros,jūrai,jūrą,jūra,jūroje,jūra,jūros,jūrų,jūroms,jūras,jūromis,jūrose,jūros
ranka,rankaG,rankos,rankai,ranką,ranka,rankoje,ranka,rankos,rankų,rankoms,rankasG,rankomis,rankose,rankos
galva,galvaG,galvosG,galvai,galvą,galva,galvoje,galva,galvos,galvųG,galvomsG,galvas,galvomisG,galvoseG,galvos
aušra,aušraG,aušrosG,aušrai,aušrą,aušraG,aušrojeG,aušra,aušros,aušrųG,aušromsG,aušrasG,aušromisG,aušroseG,aušros
