vyras,vyras,vyro,vyrui,vyrą,vyru,vyre,vyre,vyrai,vyrų,vyrams,vyrus,vyrais,vyruose,vyrai
pirštas,pirštas,piršto,pirštui,pirštą,pirštu,piršte,piršte,pirštai,pirštų,pirštams,pirštus,pirštais,pirštuose,pirštai
langas,langas,lango,langui,langą,langu,lange,lange,langai,langų,langams,langus,langais,languose,langai
miškas,miškas,miško,miškui,mišką,mišku,miške,miške,miškai,miškų,miškams,miškus,miškais,miškuose,miškai
elnias,elnias,elnio,elniui,elnią,elniu,elnyje,elni,elniai,elnių,elniams,elnius,elniais,elniuose,elniai
kelias,kelias,kelio,keliui,kelią,keliu,kelyje,kely,keliai,kelių,keliams,kelius,keliais,keliuose,keliai
vėjas,vėjas,vėjo,vėjui,vėją,vėju,vėjyje,vėjau,vėjai,vėjų,vėjams,vėjus,vėjais,vėjuose,vėjai
galvijas,galvijas,galvijo,galvijui,galviją,galviju,galvijuje,galvijau,galvijai,galvijų,galvijams,galvijus,galvijais,galvijuose,galvijai
brolis,brolis,brolio,broliui,brolį,broliu,brolyje,broli,broliai,brolių,broliams,brolius,broliais,broliuose,broliai
peilis,peilis,peilio,peiliui,peilį,peiliu,peilyje,peili,peiliai,peilių,peiliams,peilius,peiliais,peiliuose,peiliai
arklys,arklys,arklio,arkliui,arklį,arkliu,arklyje,arkly,arkliai,arklių,arkliams,arklius,arkliais,arkliuose,arkliai
būrys,būrys,būrio,būriui,būrį,būriu,būryje,būry,būriai,būrių,būriams,būrius,būriais,būriuose,būriai
berniukas,berniukas,berniuko,berniukui,berniuką,berniuku,berniuke,berniuk,berniukai,berniukų,berniukams,berniukus,berniukais,berniukuose,berniukai
Jonas,Jonas,Jono,Jonui,Joną,Jonu,Jone,Jonai,Jonai,Jonų,Jonams,Jonus,Jonais,Jonuose,Jonai
duktė,duktė,dukters,dukteriai,dukterį,dukterimi,dukteryje,dukterie,dukterys,dukterų,dukterims,dukteris,dukterimis,dukteryse,dukterys
keitimasis,keitimasis,keitimosi,keitimuisi,keitimąsi,keitimusi,keitimesi,keitimesi,keitimaisi,keitimųsi,keitimamsi,keitmusi,keitimaisi,keitimuosesi,keitimaisi
turgus,turgus,turgaus,turgui,turgų,turgumi,turguje,turgau,turgūs,turgų,turgums,turgus,turgumis,turguose,turgūs
sūnus,sūnus,sūnaus,sūnui,sūnų,sūnumi,sūnuje,sūnau,sūnūs,sūnų,sūnums,sūnus,sūnumis,sūnuose,sūnūs
dangus,dangus,dangaus,dangui,dangų,dangumi,danguje,dangau,dangūs,dangų,dangums,dangus,dangumis,danguose,dangūs
koridorius,koridorius,koridoriaus,koridoriui,koridorių,koridoriumi,koridoriuje,koridoriau,koridoriai,koridorių,koridoriams,koridorius,koridoriais,koridoriuose,koridoriai
sodžius,sodžius,sodžiaus,sodžiui,sodžių,sodžiumi,sodžiuje,sodžiau,sodžiai,sodžių,sodžiams,sodžius,sodžiais,sodžiuose,sodžiai
pavojus,pavojus,pavojaus,pavojui,pavojų,pavojumi,pavojuje,pavojau,pavojai,pavojų,pavojams,pavojus,pavojais,pavojuose,pavojai
žmogus,žmogus,žmogaus,žmogui,žmogų,žmogumi,žmoguje,žmogau,žmonės,žmonių,žmonėms,žmones,žmonėmis,žmonėse,žmonės
jūra,jūra,jūros,jūrai,jūrą,jūra,jūroje,jūra,jūros,jūrų,jūroms,jūras,jūromis,jūrose,jūros
ranka,ranka,rankos,rankai,ranką,ranka,rankoje,ranka,rankos,rankų,rankoms,rankas,rankomis,rankose,rankos
galva,galva,galvos,galvai,galvą,galva,galvoje,galva,galvos,galvų,galvoms,galvas,galvomis,galvose,galvos
aušra,aušra,aušros,aušrai,aušrą,aušra,aušroje,aušra,aušros,aušrų,aušroms,aušras,aušromis,aušrose,aušros
sauja,sauja,saujos,saujai,saują,sauja,saujoje,sauja,saujos,saujų,saujoms,saujas,saujomis,saujose,saujos
vyšnia,vyšnia,vyšnios,vyšniai,vyšnią,vyšnia,vyšnioje,vyšnia,vyšnios,vyšnių,vyšnioms,vyšnias,vyšniomis,vyšniose,vyšnios
žinia,žinia,žinios,žiniai,žinią,žinia,žinioje,žinia,žinios,žinių,žinioms,žinias,žiniomis,žiniose,žinios
marti,marti,marčios,marčiai,marčią,marčia,marčioje,marti,marčios,marčių,marčioms,marčias,marčiomis,marčiose,marčios
gervė,gervė,gervės,gervei,gervę,gerve,gervėje,gerve,gervės,gervių,gervėms,gerves,gervėmis,gervėse,gervės
bitė,bitė,bitės,bitei,bitę,bite,bitėje,bite,bitės,bičių,bitėms,bites,bitėmis,bitėse,bitės
aikštė,aikštė,aikštės,aikštei,aikštę,aikšte,aikštėje,aikšte,aikštės,aikščių,aikštėms,aikštes,aikštėmis,aikštėse,aikštės
žolė,žolė,žolės,žolei,žolę,žole,žolėje,žole,žolės,žolių,žolėms,žoles,žolėmis,žolėse,žolės
krosnis,krosnis,krosnies,krosniai,krosnį,krosnimi,krosnyje,krosnie,krosnys,krosnių,krosnims,krosnis,krosnimis,krosnyse,krosnys
širdis,širdis,širdies,širdžiai,širdį,širdimi,širdyje,širdie,širdys,širdžių,širdims,širdis,širdimis,širdyse,širdys
žuvis,žuvis,žuvies,žuviai,žuvį,žuvimi,žuvyje,žuvie,žuvys,žuvų,žuvims,žuvis,žuvimis,žuvyse,žuvys
žvėris,žvėris,žvėries,žvėriui,žvėrį,žvėrimi,žvėryje,žvėrie,žvėrys,žvėrių,žvėrims,žvėris,žvėrimis,žvėryse,žvėrys
dantis,dantis,danties,dančiui,dantį,dantimi,dantyje,dantie,dantys,dantų,dantims,dantis,dantimis,dantyse,dantys
debesis,debesis,debesies,debesiui,debesį,debesimi,debesyje,debesie,debesys,debesų,debesims,debesis,debesimis,debesyse,debesys
akmuo,akmuo,akmens,akmeniui,akmenį,akmeniu,akmenyje,akmenie,akmenys,akmenų,akmenims,akmenis,akmenimis,akmenyse,akmenys
vanduo,vanduo,vandens,vandeniui,vandenį,vandeniu,vandenyje,vandenie,vandenys,vandenų,vandenims,vandenis,vandenimis,vandenyse,vandenys
šuo,šuo,šuns,šuniui,šunį,šunimi,šunyje,šunie,šunys,šunų,šunims,šunis,šunimis,šunyse,šunys
sesuo,sesuo,sesers,seseriai,seserį,seserimi,seseryje,seserie,seserys,seserų,seserims,seseris,seserimis,seseryse,seserys
ledas ‘ice’,ledas,ledo,ledui,ledą,ledu,lede,lede,ledai,ledų,ledams,ledus,ledais,leduose,ledai
LEDas ‘LED’,ledas,ledo,ledui,ledą,ledu,lede,lede,ledai,ledų,ledams,ledus,ledais,leduose,ledai
teta ‘aunt’,teta,tetos,tetai,tetą,teta,tetoje,teta,tetos,tetų,tetoms,tetas,tetomis,tetose,tetos
teta ‘theta’,teta,tetos,tetai,tetą,teta,tetoje,teta,tetos,tetų,tetoms,tetas,tetomis,tetose,tetos
