vyras,vīras,vīro,vīrui,vīrā,vīru,vīre,vīre,vīrai,vīrū,vīrams,vīrus,vīrais,vīrůse,vīrai
pirštas,pirštas,piršto,pirštui,pirštā,pirštuG,piršteG,piršte,pirštai,pirštū,pirštams,pirštusG,pirštais,pirštůse,pirštai
langas,langas,lango,langui,langā,langu,langeG,lange,langaiG,langūG,langamsG,langus,langaisG,langůseG,langaiG
miškas,miškas,miško,miškui,miškā,miškuG,miškeG,miškeG,miškaiG,miškūG,miškamsG,miškusG,miškaisG,miškůseG,miškaiG
elnias,elnes,elnʲo,elnʲui,elnē,elnʲu,elnīje,elni,elnei,elnʲū,elnems,elnʲus,elneis,elnʲůse,elnei
kelias,keles,kelʲo,kelʲui,kelē,kelʲuG,kelījeG,kelīG,keleiG,kelʲūG,kelēmsG,kelʲusG,keleisG,kelʲůseG,keleiG
vėjas,vėjes,vėjo,vėjui,vėjē,vėju,vėjīje,vėjeu,vėjei,vėjū,vėjems,vėjus,vėjeis,vėjůse,vėjei
galvijas,galvijes,galvijo,galvijui,galvijē,galvijuG,galvijuje,galvijeu,galvijei,galvijū,galvijems,galvijusG,galvijeis,galvijůse,galvijei
brolis,brolis,brolʲo,brolʲui,brolī,brolʲu,brolīje,broli,brolei,brolʲū,brolems,brolʲus,broleis,brolʲůse,brolei
peilis,peilis,peilʲo,peilʲui,peilī,peilʲuG,peilīje,peili,peilei,peilʲū,peilems,peilʲusG,peileis,peilʲůse,peilei
arklys,arklīsG,arklʲo,arklʲui,arklī,arklʲu,arklījeG,arklīG,arkleiG,arklʲūG,arklēmsG,arklʲus,arkleisG,arklʲůseG,arkleiG
būrys,būrīsG,būrʲo,būrʲui,būrī,būrʲuG,būrījeG,būrīG,būreiG,būrʲūG,būrēmsG,būrʲusG,būreisG,būrʲůseG,būreiG
berniukas,bernʲukas,bernʲuko,bernʲukui,bernʲukā,bernʲukuG,bernʲukeG,bernʲuk,bernʲukai,bernʲukū,bernʲukams,bernʲukusG,bernʲukais,bernʲukůse,bernʲukai
Jonas,jonas,jono,jonui,jonā,jonuG,joneG,jonai,jonai,jonū,jonams,jonusG,jonais,jonůse,jonai
duktė,duktėG,duktersG,dukterei,dukterī,dukterimiG,dukterījeG,dukterëG,dukterīs,dukterūG,dukterimsG,dukteris,dukterimisG,dukterīseG,dukterīs
keitimasis,keitimasis,keitimosi,keitimuisi,keitimāsi,keitimusiG,keitimesiG,keitimesiG,keitimaisi,keitimūsi,keitimamsi,keitmusi,keitimaisi,keitimůsesi,keitimaisi
turgus,turgus,turgaus,turgui,turgū,turgumi,turguje,turgau,turgūs,turgū,turgums,turgus,turgumis,turgůse,turgūs
sūnus,sūnusG,sūnausG,sūnui,sūnū,sūnumiG,sūnujeG,sūnauG,sūnūs,sūnūG,sūnumsG,sūnus,sūnumisG,sūnůseG,sūnūs
dangus,dangusG,dangaus,dangui,dangū,dangumiG,dangujeG,dangauG,dangūs,dangūG,dangumsG,dangusG,dangumisG,dangůseG,dangūsG
koridorius,koridorʲus,koridoreus,koridorʲui,koridorʲū,koridorʲumi,koridorʲuje,koridoreu,koridorei,koridorʲū,koridorems,koridorʲus,koridoreis,koridorʲůse,koridorei
sodžius,soǯʲus,soǯeus,soǯʲui,soǯʲū,soǯʲumi,soǯʲuje,soǯeu,soǯei,soǯʲū,soǯems,soǯʲusG,soǯeis,soǯʲůse,soǯei
pavojus,pavojus,pavojeus,pavojui,pavojū,pavojumi,pavojuje,pavojeu,pavojei,pavojū,pavojems,pavojusG,pavojeis,pavojůse,pavojei
žmogus,žmogusG,žmogausG,žmogui,žmogū,žmogumiG,žmogujeG,žmogauG,žmonės,žmonʲūG,žmonėmsG,žmones,žmonėmisG,žmonėseG,žmonės
jūra,jūra,jūros,jūrai,jūrā,jūra,jūroje,jūra,jūros,jūrū,jūroms,jūras,jūromis,jūrose,jūros
ranka,rankaG,rankos,rankai,rankā,ranka,rankoje,ranka,rankos,rankū,rankoms,rankasG,rankomis,rankose,rankos
