vyras,vīras,vīro,vīrui,vīrā,vīru,vīre,vīre,vīrai,vīrū,vīrams,vīrus,vīrais,vīrůse,vīrai
pirštas,pirštas,piršto,pirštui,pirštā,pirštu,piršte,piršte,pirštai,pirštū,pirštams,pirštus,pirštais,pirštůse,pirštai
langas,langas,lango,langui,langā,langu,lange,lange,langai,langū,langams,langus,langais,langůse,langai
miškas,miškas,miško,miškui,miškā,mišku,miške,miške,miškai,miškū,miškams,miškus,miškais,miškůse,miškai
elnias,elnes,elnʲo,elnʲui,elnē,elnʲu,elnīje,elni,elnei,elnʲū,elnems,elnʲus,elneis,elnʲůse,elnei
kelias,keles,kelʲo,kelʲui,kelē,kelʲu,kelīje,kelī,kelei,kelʲū,kelēms,kelʲus,keleis,kelʲůse,kelei
vėjas,vėjes,vėjo,vėjui,vėjē,vėju,vėjīje,vėjeu,vėjei,vėjū,vėjems,vėjus,vėjeis,vėjůse,vėjei
galvijas,galvijes,galvijo,galvijui,galvijē,galviju,galvijuje,galvijeu,galvijei,galvijū,galvijems,galvijus,galvijeis,galvijůse,galvijei
brolis,brolis,brolʲo,brolʲui,brolī,brolʲu,brolīje,broli,brolei,brolʲū,brolems,brolʲus,broleis,brolʲůse,brolei
peilis,peilis,peilʲo,peilʲui,peilī,peilʲu,peilīje,peili,peilei,peilʲū,peilems,peilʲus,peileis,peilʲůse,peilei
arklys,arklīs,arklʲo,arklʲui,arklī,arklʲu,arklīje,arklī,arklei,arklʲū,arklēms,arklʲus,arkleis,arklʲůse,arklei
būrys,būrīs,būrʲo,būrʲui,būrī,būrʲu,būrīje,būrī,būrei,būrʲū,būrēms,būrʲus,būreis,būrʲůse,būrei
berniukas,bernʲukas,bernʲuko,bernʲukui,bernʲukā,bernʲuku,bernʲuke,bernʲuk,bernʲukai,bernʲukū,bernʲukams,bernʲukus,bernʲukais,bernʲukůse,bernʲukai
Jonas,jonas,jono,jonui,jonā,jonu,jone,jonai,jonai,jonū,jonams,jonus,jonais,jonůse,jonai
duktė,duktė,dukters,dukterei,dukterī,dukterimi,dukterīje,dukterë,dukterīs,dukterū,dukterims,dukteris,dukterimis,dukterīse,dukterīs
keitimasis,keitimasis,keitimosi,keitimuisi,keitimāsi,keitimusi,keitimesi,keitimesi,keitimaisi,keitimūsi,keitimamsi,keitmusi,keitimaisi,keitimůsesi,keitimaisi
turgus,turgus,turgaus,turgui,turgū,turgumi,turguje,turgau,turgūs,turgū,turgums,turgus,turgumis,turgůse,turgūs
sūnus,sūnus,sūnaus,sūnui,sūnū,sūnumi,sūnuje,sūnau,sūnūs,sūnū,sūnums,sūnus,sūnumis,sūnůse,sūnūs
dangus,dangus,dangaus,dangui,dangū,dangumi,danguje,dangau,dangūs,dangū,dangums,dangus,dangumis,dangůse,dangūs
koridorius,koridorʲus,koridoreus,koridorʲui,koridorʲū,koridorʲumi,koridorʲuje,koridoreu,koridorei,koridorʲū,koridorems,koridorʲus,koridoreis,koridorʲůse,koridorei
sodžius,soǯʲus,soǯeus,soǯʲui,soǯʲū,soǯʲumi,soǯʲuje,soǯeu,soǯei,soǯʲū,soǯems,soǯʲus,soǯeis,soǯʲůse,soǯei
pavojus,pavojus,pavojeus,pavojui,pavojū,pavojumi,pavojuje,pavojeu,pavojei,pavojū,pavojems,pavojus,pavojeis,pavojůse,pavojei
žmogus,žmogus,žmogaus,žmogui,žmogū,žmogumi,žmoguje,žmogau,žmonės,žmonʲū,žmonėms,žmones,žmonėmis,žmonėse,žmonės
jūra,jūra,jūros,jūrai,jūrā,jūra,jūroje,jūra,jūros,jūrū,jūroms,jūras,jūromis,jūrose,jūros
ranka,ranka,rankos,rankai,rankā,ranka,rankoje,ranka,rankos,rankū,rankoms,rankas,rankomis,rankose,rankos
galva,galva,galvos,galvai,galvā,galva,galvoje,galva,galvos,galvū,galvoms,galvas,galvomis,galvose,galvos
aušra,aušra,aušros,aušrai,aušrā,aušra,aušroje,aušra,aušros,aušrū,aušroms,aušras,aušromis,aušrose,aušros
sauja,sauje,saujos,saujei,saujē,sauje,saujoje,sauje,saujos,saujū,saujoms,saujes,saujomis,saujose,saujos
vyšnia,vīšne,vīšnʲos,vīšnei,vīšnē,vīšne,vīšnʲoje,vīšne,vīšnʲos,vīšnʲū,vīšnʲoms,vīšnes,vīšnʲomis,vīšnʲose,vīšnʲos
žinia,žine,žinʲos,žinei,žinē,žine,žinʲoje,žine,žinʲos,žinʲū,žinʲoms,žines,žinʲomis,žinʲose,žinʲos
marti,marti,marčʲos,marčei,marčē,marče,marčʲoje,marti,marčʲos,marčʲū,marčʲoms,marčes,marčʲomis,marčʲose,marčʲos
gervė,gervė,gervės,gervei,gervē,gerve,gervėje,gerve,gervės,gervʲū,gervėms,gerves,gervėmis,gervėse,gervės
bitė,bitė,bitės,bitei,bitē,bite,bitėje,bite,bitės,bičʲū,bitėms,bites,bitėmis,bitėse,bitės
aikštė,aikštė,aikštės,aikštei,aikštē,aikšte,aikštėje,aikšte,aikštės,aikščʲū,aikštėms,aikštes,aikštėmis,aikštėse,aikštės
žolė,žolė,žolės,žolei,žolē,žole,žolėje,žole,žolės,žolʲū,žolėms,žoles,žolėmis,žolėse,žolės
krosnis,krosnis,krosnës,krosnei,krosnī,krosnimi,krosnīje,krosnë,krosnīs,krosnʲū,krosnims,krosnis,krosnimis,krosnīse,krosnīs
širdis,širdis,širdës,širǯei,širdī,širdimi,širdīje,širdë,širdīs,širǯʲū,širdims,širdis,širdimis,širdīse,širdīs
